index,task_type,prompt,ori_image,target_image
1,t2i,一棵令人惊叹的树从太空中的一颗小行星上生长出来，细节复杂，自然光线照射，呈现出超现实的3D渲染效果。,,
2,t2i,宁静的天空中，以概念艺术风格绘制的平和蓬松的云朵，分辨率为4K。,,
3,t2i,一张逼真的照片，展示了一位皮肤光滑的男性机器人，它像雕像一样在工厂中摆出姿势。,,
4,t2i,这是一幅以平滑的数字肖像插画概念艺术风格描绘的身穿宇航服的年轻宇航员。,,
5,t2i,A vibrant cityscape at dawn with sharp focus and bright colors in a matte finish,,
6,t2i,一个男人在舒适的客厅里一边看书一边享受着饮料。,,
7,t2i,太阳镜在逼真的虚拟环境中反射出一幅令人惊叹的宇宙景象。,,
8,t2i,一个男人骑着一辆带篮子的小自行车，沿着森林中陡峭的道路骑行。,,
9,t2i,获奖的海滩场景，五彩斑斓的灯光和灯笼照亮的夜空下的临时小屋。,,
10,t2i,a woman in a white shawl stands in a garden with red flowers blooming around her,,
11,t2i,A toy set inspired by mythical creatures in a fantasy world,,
12,t2i,Spiderweb-covered piano in vast silent hall with soft light creating a somber mood,,
13,t2i,一个脸上有发光雀斑、头发凌乱的青少年站在一个充满奇思妙想的独立工作室场景中，逆光而立。,,
14,t2i,这幅画描绘了一幅宁静的风景，色彩鲜艳，笔触细腻。,,
15,t2i,African American woman wears turquoise helmet mask and pink cloak in a gold canopy,,
16,t2i,在晴朗的蓝天之下，一条被薄雾笼罩的林荫大道上，迎来了一个秋天的早晨。,,
17,t2i,在宁静的环境中，著名艺术家们描绘了一片在晴朗天空下的平静海洋。,,
18,t2i,Two mystics gather by a fire as a mythical bird ascends from a distant volcano in a serene landscape,,
19,t2i,A high detail 4k professional photograph of a cowboy in a wild west town scene,,
20,t2i,这是一幅1950年代游戏节目的超写实主义画作，画面中一位女性在一个反光的环境中打高尔夫球。,,
21,t2i,一个男人在一个充满活力的淡彩世界中探索蒸汽朋克风格的门户，这个世界以干净的矢量艺术呈现。,,
22,t2i,Samurai skeleton with blue eyes in a dark fantasy scene intricately detailed digital painting art concept illustration,,
23,t2i,一个宁静的公园场景，有鲜艳的花朵和人们在阳光下和谐地享受美好时光。,,
24,t2i,一个宁静的海滩场景，一位穿着蓝色长袍的女子在黄金时刻手持生日蛋糕。,,
25,t2i,Exoskeletal device malfunctioned at railroad station causing delay,,
26,t2i,Creative anime style illustration of a dog girl with fairy wings and heart effects on a simple background,,
27,t2i,A soccer player kicks a ball in a sunny park scene,,
28,t2i,A classic black and white illustration of a woman in vintage attire,,
29,t2i,A detailed eerie and grim creature in a dark forest at night,,
30,t2i,这是一幅以照片般逼真的数字绘画风格呈现的神奇花园，花园里有彩虹般闪耀的花朵和柔和的灯光。,,
31,t2i,在一个未来城市景观中，有一条充满活力的科技朋克小巷，霓虹灯闪烁，机器人熙熙攘攘。,,
32,t2i,A detailed 8K resolution photo of a well-designed garden in a sunny park,,
33,t2i,A skilled warrior stands in heroic stance wielding a spear in a vivid digital artwork,,
34,t2i,A detailed realistic painting of a musician in an art nouveau style,,
35,t2i,为一个幻想世界创作一个以自然为灵感的详细游戏资产，采用蓝粉色调的水粉画风格。,,
36,t2i,Corn sprouted legs and fled captured in a vintage Polaroid photo,,
37,t2i,这是一幅由安东·皮克创作的、背景充满风暴的、细节丰富的数字绘画，描绘了一位霜冻海盗。,,
38,t2i,A dramatic painting of a woman in Caravaggio style with vivid colors,,
39,t2i,A spaceship launches from a city in a digital art style inspired by Van Gogh's Starry Night,,
40,t2i,girl with flowing hair in ocean breeze scene,,
41,t2i,A vibrant outdoor scene of modern art objects in bold colors and memphis design style in 1920,,
42,t2i,保时捷911 Carrera 3.2在公路上行驶，背景是森林，金色时刻的光线和薄雾场景的详细照片打印。,,
43,t2i,A young girl in an eva suit stands on Titan with Saturn's rings in cinematic lighting sharp focus,,
44,t2i,A serene beach scene with soft sand gentle waves and clear blue skies,,
45,t2i,一位男士在70年代苏联风格的舞厅中优雅地跳舞，那里充满了复古的魅力和温暖的灯光。,,
46,t2i,在柔和而神秘的灯光下，博物馆里展示着一件由黏土和大理石制成的活动雕塑。,,
47,t2i,Crystal skull in 8k cinematic detailed intricate scene,,
48,t2i,黄昏时分，一条美丽的街道，紫藤花般的紫色灯光照亮了古老的房屋，超精细的8K艺术作品。,,
49,t2i,A detailed 8k sci-fi fantasy film still photo featuring a basketball player in a floral ornate setting,,
50,t2i,Epic patriotic mech in a vast battlefield scene with cinematic lighting and ultra realistic details,,
